epoch,accuracy,learning_rate,loss,mean_io_u,val_accuracy,val_learning_rate,val_loss,val_mean_io_u
0,0.9304417967796326,9.999999747378752e-05,0.6666193604469299,0.9999998807907104,NA,NA,NA,NA
1,0.9369138479232788,9.999999747378752e-05,0.6127483248710632,0.9999998807907104,NA,NA,NA,NA
2,0.9368858933448792,9.999999747378752e-05,0.40839362144470215,0.9999998807907104,NA,NA,NA,NA
3,0.9368085265159607,9.999999747378752e-05,0.1916167289018631,0.9999998807907104,NA,NA,NA,NA
4,0.9369502067565918,9.999999747378752e-05,0.1653350293636322,0.9999998807907104,NA,NA,NA,NA
5,0.9369502067565918,9.999999747378752e-05,0.15826639533042908,0.9999998807907104,NA,NA,NA,NA
6,0.9369503259658813,9.999999747378752e-05,0.1515250951051712,0.9999998807907104,NA,NA,NA,NA
7,0.936950147151947,9.999999747378752e-05,0.14030706882476807,0.9999998807907104,NA,NA,NA,NA
8,0.9369502067565918,9.999999747378752e-05,0.13199873268604279,0.9999998807907104,NA,NA,NA,NA
9,0.9369502067565918,9.999999747378752e-05,0.12382695823907852,0.9999998807907104,NA,NA,NA,NA
10,0.9369502067565918,9.999999747378752e-05,0.11737463623285294,0.9999998807907104,NA,NA,NA,NA
11,0.9369502067565918,9.999999747378752e-05,0.11443758010864258,0.9999998807907104,NA,NA,NA,NA
12,0.9369503259658813,9.999999747378752e-05,0.1102837473154068,0.9999998807907104,NA,NA,NA,NA
13,0.9369502067565918,9.999999747378752e-05,0.1054801344871521,0.9999998807907104,NA,NA,NA,NA
14,0.9369502067565918,9.999999747378752e-05,0.1015031635761261,0.9999998807907104,NA,NA,NA,NA
15,0.9369502663612366,9.999999747378752e-05,0.09731453657150269,0.9999998807907104,NA,NA,NA,NA
16,0.936950147151947,9.999999747378752e-05,0.09307480603456497,0.9999998807907104,NA,NA,NA,NA
17,0.9369502663612366,9.999999747378752e-05,0.08833122998476028,0.9999998807907104,NA,NA,NA,NA
18,0.9369502067565918,9.999999747378752e-05,0.08431506156921387,0.9999998807907104,NA,NA,NA,NA
19,0.9369503259658813,9.999999747378752e-05,0.08059819042682648,0.9999998807907104,NA,NA,NA,NA
20,0.9369502663612366,9.999999747378752e-05,0.07607077062129974,0.9999998807907104,NA,NA,NA,NA
21,0.9369502663612366,9.999999747378752e-05,0.07344114780426025,0.9999998807907104,NA,NA,NA,NA
22,0.9369497895240784,9.999999747378752e-05,0.07178422063589096,0.9999998807907104,NA,NA,NA,NA
23,0.9369485974311829,9.999999747378752e-05,0.07056208699941635,0.9999998807907104,NA,NA,NA,NA
24,0.936947762966156,9.999999747378752e-05,0.07034802436828613,0.9999998807907104,NA,NA,NA,NA
25,0.9369494318962097,9.999999747378752e-05,0.0688156932592392,0.9999998807907104,NA,NA,NA,NA
26,0.9369457960128784,9.999999747378752e-05,0.06702031195163727,0.9999998807907104,NA,NA,NA,NA
27,0.9369423985481262,9.999999747378752e-05,0.06602546572685242,0.9999998807907104,NA,NA,NA,NA
